dataset,output_file,n_rows,n_unique_videos
REG,/home/rubenrabb/ms_recent_IAS_post_WSIIV4_SP_NAMES_UPDATED_Rev4/youtube-nns-iberia-reproducible-workflow_v15_optional_api_run_guide/optional_youtube_api_preworkflow/data_raw/yt_species_videos_ES_PT_regioncode_scientific_common_dedup.csv,187,187
GEO,/home/rubenrabb/ms_recent_IAS_post_WSIIV4_SP_NAMES_UPDATED_Rev4/youtube-nns-iberia-reproducible-workflow_v15_optional_api_run_guide/optional_youtube_api_preworkflow/data_raw/yt_species_videos_ES_PT_geotagged_dedup_1200km_new_locs_espanded.csv,0,0
COMMENTS,/home/rubenrabb/ms_recent_IAS_post_WSIIV4_SP_NAMES_UPDATED_Rev4/youtube-nns-iberia-reproducible-workflow_v15_optional_api_run_guide/optional_youtube_api_preworkflow/data_raw/YT_comments_with_timestamps_long.csv,0,0
