Region,LifeForm,TaxonName,PresentStatus,FirstRecord
Spain,Molluscs,Marisa cornuarietis,established,2014
Portugal,Crustaceans,Megabalanus tintinnabulum,,2016
Madeira,Vascular plants,Microlepia platyphylla,established,2017
Spain,Birds,Mimus gilvus,alien,2012
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Mnemiopsis leidyi,established,2009
Spain,Birds,Musophaga violacea,alien,2011
Spain,Birds,Neophema pulchella,alien,2008
Canary Islands,Insects,Neotoxoptera formosana,established,2010
Portugal,Birds,Netta peposaca,casual,2013
Portugal,Insects,Obolodiplosis robiniae,alien,2011
Spain,Insects,Obolodiplosis robiniae,alien,2008
Spain,Amphibians,Ommatotriton ophryticus,alien,2011
Portugal,Insects,Ophelimus maskelli,alien,2006
Spain,Molluscs,Orientogalba viridis,established,2015
Portugal,Crustaceans,Palaemon macrodactylus,established,2008
Spain,Crustaceans,Palaemon macrodactylus,established,2008
Spain,Crustaceans,Paracaprella pusilla,,2010
Spain,Insects,Paracoccus burnerae,alien,2014
Portugal,Insects,Paratrechina jaegerskioeldi,established,2012
Spain,Insects,Paratrechina vividula,established,2007
Portugal,Reptiles,Pelodiscus sinensis,alien,2019
Portugal,Insects,Penthimiola bella,,2012
Portugal,Fishes,Perca fluviatilis,established,2015
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Perinereis linea,,2012
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Perophora japonica,,2008
Spain,Insects,Pezothrips kellyanus,established,2008
Portugal,Insects,Pheidole indica,established,2012
Spain,Insects,Pheidole megacephala,established,2016
Spain,Birds,Phoeniculus purpureus,casual,2014
Canary Islands,Insects,Phthorimaea absoluta,established,2008
Portugal,Insects,Phthorimaea absoluta,established,2009
Spain,Insects,Phthorimaea absoluta,established,2006
Spain,Birds,Pionites melanocephalus,alien,2007
Portugal,Molluscs,Planorbella duryi,established,2009
Spain,Birds,Platalea ajaja,casual,2008
Madeira,Vascular plants,Platycerium bifurcatum,established,2017
Canary Islands,Vascular plants,Pluchea carolinensis,alien,2011
Spain,Birds,Poicephalus crassus,alien,2006
Spain,Molluscs,Pomacea maculata,established,2009
Spain,Birds,Primolius auricollis,alien,2008
Spain,Birds,Primolius maracana,alien,2007
Portugal,Reptiles,Pseudemys concinna,established,2013
Spain,Crustaceans,Pseudodiaptomus marinus,established,2016
Portugal,Molluscs,Pseudosuccinea columella,established,2009
Spain,Birds,Psilopsiagon aymara,casual,2008
Portugal,Birds,Psittacus erithacus,casual,2014
