LifeForm,total_videos,m_channels,HHI,invHHI_norm,Neff_HHI,H,H_norm,Neff_H,H_vegan,Hnorm_vegan,NeffH_vegan,neff_ratio
Birds,684,300,0.03571611777982969,0.9675089119265922,27.998563734290844,4.789057027018677,0.8396282726941371,120.18798119201273,4.789057027018677,0.8396282726941371,120.18798119201273,0.09332854578096948
Herptiles,153,92,0.019095219787261312,0.9916839536216698,52.36912751677852,4.26939205034563,0.9441821477491266,71.47816728018421,4.26939205034563,0.9441821477491266,71.47816728018421,0.5692296469215057
Fishes,70,49,0.03591836734693877,0.9841666666666667,27.840909090909097,3.681261093542659,0.9458969869009142,39.69642342334246,3.681261093542659,0.9458969869009142,39.69642342334246,0.5681818181818183
Insects,627,405,0.004728727720417471,0.9977348150327499,211.4733727810651,5.750916164344273,0.9578654794910758,314.4786424653107,5.750916164344273,0.9578654794910758,314.4786424653107,0.5221564760026299
Crustaceans,23,16,0.09262759924385633,0.9678638941398866,10.795918367346939,2.5930312050561493,0.9352383151012098,13.370238174529923,2.5930312050561493,0.9352383151012098,13.370238174529923,0.6747448979591837
Non-arthropod invertebrates,24,21,0.0625,0.984375,16,2.947004770161297,0.9679694699064049,19.048812623618392,2.947004770161297,0.9679694699064049,19.048812623618392,0.7619047619047619
Plants,190,90,0.052908587257617726,0.9577328892900495,18.900523560209425,3.811429036611813,0.8470200554798292,45.215006620352284,3.811429036611813,0.8470200554798292,45.215006620352284,0.2100058173356603
"Bacteria, Viruses, Fungi",124,73,0.024843912591050985,0.9886999219562955,40.25130890052357,4.026766410696722,0.9385396752798371,56.07928038439641,4.026766410696722,0.9385396752798371,56.07928038439641,0.5513877931578571
