category,time_period,mean_prop,sd_prop,median_prop,iqr_prop,n_species
Detection,Post-Introduction,35.072302044517414,24.69136578573183,33.333333333333336,29.894193928676685,43
Detection,Pre-Introduction,47.77777777777778,46.70633234885267,33.333333333333336,45,3
Invasion,Post-Introduction,30.072685261651454,27.38359572939046,23.076923076923077,29.166666666666664,29
Threat,Post-Introduction,21.661511794844298,24.628947934676628,13.636363636363637,17.985507246376812,27
Threat,Pre-Introduction,54.34782608695652,64.5619234996413,54.34782608695652,45.652173913043484,2
eCommerce,Post-Introduction,68.2540074659782,31.04117242164891,80,44.94949494949495,43
eCommerce,Pre-Introduction,89.59420289855072,13.650296803166395,91.30434782608695,10,5
