Taxonomic group,Species found (%),Videos/species (mean+/-SD),Channels/species (mean+/-SD),Total videos,Channels (m),HHI,invHHI_norm,H,H_norm,Neff (1/HHI),Neff (exp(H))
Insects,100,23.2 +/- 55.0,16.7 +/- 37.8,627,405,0.005,0.99773,5.751,0.958,211.5,314.5
Herptiles,100,17.0 +/- 12.6,11.8 +/- 8.2,153,92,0.019,0.99168,4.269,0.944,52.4,71.5
"Bacteria, Viruses, Fungi",100,31.0 +/- 39.2,19.0 +/- 22.9,124,73,0.025,0.9887,4.027,0.939,40.3,56.1
Non-arthropod invertebrates,100,4.0 +/- 2.4,3.5 +/- 2.4,24,21,0.062,0.98438,2.947,0.968,16,19
Fishes,100,10.0 +/- 12.0,7.3 +/- 7.7,70,49,0.036,0.98417,3.681,0.946,27.8,39.7
Crustaceans,100,7.7 +/- 11.5,5.7 +/- 8.1,23,16,0.093,0.96786,2.593,0.935,10.8,13.4
Birds,100,19.0 +/- 52.8,9.7 +/- 24.1,684,300,0.036,0.96751,4.789,0.84,28,120.2
Plants,100,95.0 +/- 113.1,45.0 +/- 42.4,190,90,0.053,0.95773,3.811,0.847,18.9,45.2
Total,100,20.2 +/- 47.6,12.4 +/- 26.6,1895,1002,NA,NA,NA,NA,NA,NA
