query,video_id,title,description,publishedAt,channelTitle,location,video_url,viewCount,likeCount,commentCount,comments,TaxonName,query_normalized,created_at,lang_detected,Region_all,created_raw,regionCode,source_flag,species_normalized,search_term_normalized,Region_all.x,Region,LifeForm,PresentStatus,FirstRecord,Region_all.y,CleanName,full_description_lower,FirstRecordDate,time_period,is_iberian
Aguila americana,video_015174,Épica Pelea Entre Un Zorro y Un Águila Calva #viral #águila #zorro #eagles #fox #shorts # #birds,"Un zorro que acababa de capturar un conejo. De repente, un águila americana se abalanza sobre el animal para robarle el ...",2024-07-21T19:20:00Z,channel_005216,"40.0, -3.7",[withheld],10229.0,115.0,0.0,,Haliaeetus_leucocephalus,Aguila americana,2024-07-21T19:20:00Z,,,2024-07-21 19:20:00,,GEO,,,,,Birds,casual,2008.0,,,,2008-06-01T12:00:00Z,After,True
Aguila americana,video_008831,Desafío Diario Águila Americana #forzahorizon5,Completar Desafio Diario 26-08-2022 Águila Americana.,2022-08-26T17:26:41Z,channel_009574,"40.0, -3.7",[withheld],151.0,4.0,5.0,que mas coches son compatibles?¿,Haliaeetus_leucocephalus,Aguila americana,2022-08-26T17:26:41Z,,,2022-08-26 17:26:41,,GEO,,,,,Birds,casual,2008.0,,,,2008-06-01T12:00:00Z,After,True
Aguila americana,video_006076,Águila Calva.,"Vídeo de un Águila americana o Águila Calva que vive en el Jungle Park, un zoológico y botánico situado en Tenerife (Islas ...",2024-11-14T16:00:04Z,channel_004714,"28.3, -16.6",[withheld],524.0,20.0,0.0,,Haliaeetus_leucocephalus,Aguila americana,2024-11-14T16:00:04Z,,,2024-11-14 16:00:04,,GEO,,,,,Birds,casual,2008.0,,,,2008-06-01T12:00:00Z,After,True
Alga asiatica,video_007414,La #playadeTrengandín en #Noja cubierta por una #alga asiática invasora.,,2025-08-08T13:50:52Z,channel_002595,"40.0, -3.7",[withheld],2850.0,31.0,10.0,En el norte de España se recogen y lo utilizan para las farmacias❤ | Y comentan que no se pueden retirar ? | Que asco! | Madre mía 🤔🤔🤔🤔 | Noja tan preciosa.Que ha pasado?,Rugulopteryx_okamurae,Alga asiatica,2025-08-08T13:50:52Z,es,Spain,2025-08-08 13:50:52,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Alga asiatica,video_006878,Alga Asiática - Reduce tu huella | La2,ℹ️ [link withheld] [link withheld] [link withheld] #ReduceTuHuella ...,2022-10-11T16:00:14Z,channel_004503,"40.0, -3.7",[withheld],674.0,25.0,3.0,"Genios... | Impactante capitulo, sin duda de los mejores del programa. No se puede cuidar lo que no se conoce, excelente los aportes de las personas que habitan ese espacio, para muchos su lugar también de trabajo, y también el de la especialista en el tema. Ese trabajo conjunto puede ser el inicio de una solución. | Si tal como indica la especialista en este tipo de algas lo mejor es la prevención, estamos de suerte. La buena voluntad de todos puede hacer milagros.",Rugulopteryx_okamurae,Alga asiatica,2022-10-11T16:00:14Z,es,Spain,2022-10-11 16:00:14,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Alga asiatica,video_012491,Peleando contra la alga asiática,pesca #andalucia #españa #playa #fishing #fishinglife #beach #surfcasting #surfcastingtv #surfcast.,2024-07-09T17:40:39Z,channel_006199,"40.0, -3.7",[withheld],478.0,5.0,0.0,,Rugulopteryx_okamurae,Alga asiatica,2024-07-09T17:40:39Z,,,2024-07-09 17:40:39,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Alga asiatica,video_013309,Algas invasoras en el litoral andaluz,La proliferación del alga asiática “Rugurolpteryx Okamurae” en el litoral andaluz está provocando pérdidas en el sector pesquero ...,2019-10-10T09:42:40Z,channel_007587,"40.0, -3.7",[withheld],1506.0,20.0,,,Rugulopteryx_okamurae,Alga asiatica,2019-10-10T09:42:40Z,es,Spain,2019-10-10 09:42:40,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Alga asiatica,video_012855,Invasión alga asiática-Gestión de este Gobierno que dice ser ecologista.,"El Gobierno conoce esta invasión, desde 2015, es en ese momento cuando debió aislarla y eliminarla, sin embargo no se ha ...",2020-07-27T09:31:04Z,channel_002329,"40.0, -3.7",[withheld],253.0,14.0,0.0,,Rugulopteryx_okamurae,Alga asiatica,2020-07-27T09:31:04Z,es,Spain,2020-07-27 09:31:04,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Alga asiatica,video_002739,"🤿Buceo🎥Playita🏖San Felipe,Invasión Alga ASIATICA😡Poca VISIBILIDAD Y EL Mar algo REVUELTO🤷‍♂️PARTE 1ª","Buceo  Playita  San Felipe,Invasión Alga ASIATICA  ,Poca VISIBILIDAD Y EL Mar algo REVUELTO,PARTE 1ª.",2023-08-17T18:41:45Z,channel_005433,"40.0, -3.7",[withheld],176.0,0.0,1.0,"Ya Sabemos que Las Reacciones de Cada Cual Son Diferentes,y a alguien le gusta algo y a alguien No,que 1 Video puede Tener mejor,peor o Muy Mala Calidad como Éste,pero NO Se Trata Del Video en Sí🙏....
SE TRATA DEL CONTENIDO,DE 1 PLAYITA NATURAL QUE SE FORMA DESDE EL CORTE DE LA MURALLA Y LA REESTRUCTURACIÓN Y OBRAS que Cambió y AMPLIÓ EL ENTORNO,CONTORNO,DIMENSIONES,TODO🤷‍♂️
FUÉ HACE MÁS DE 40 AÑOS YÁ🤷‍♂️
Y ÉSTA QUE ES 1 PLAYA NATURAL.QUE.SE FORMÓ POR EFECTO DE LAS MAREAS,VIENTOS,EL HOMBRE Y MÁS...
LA ESCOLLERA Y LA BARRERA DE LAS MURALLAS QUE HACEN DEL LUGAR 1 ENTORNO IDEAL PARA QUE SE FORMASE POR LOS MOTIVOS U CAUSAS HICIERON QUE ESA MARAVILLA DE🏖QUE ES ....
Y QUE ES DE TOD@S,QUE ES NUESTRA🙏REITERO🙏DE TO@S L@S GATITAN@S💛💙
...
Y QUE LA VAN A PRIVATIZAR,ESO ES LO QUE QUIEREN EN CÁDIZ,SIN VIVIENDAS,PRIVATIZANDO TODO LO QUE SE PUEDA,Y NO TIENE EL VIDEO🙏🙏🙏🙏🙏🙏🙏..
NI 1 SOLO LIKE🤦‍♂️🙏🤷‍♂️PERO QUE.OS.PASA GADITANOS???...
OS DA IGUAL TODO???....
APOYA EL VIDEO Y DA LIKE 🤷‍♂️....
A MODO DE APOYO EN PRESERVAR LO QUE....
ES 🏖 👉TUYO👈
1.POQUITO DE CONCIENCIA, EMPATÍA Y DE POR FAVÓ🙏🤷‍♂️😜👍",Rugulopteryx_okamurae,Alga asiatica,2023-08-17T18:41:45Z,es,Spain,2023-08-17 18:41:45,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
Algas asiaticas,video_006734,ALGAS ASIÁTICAS #algarve #portugal #albufeira #lagos #agenda2030 #europa #algas #asiatica #sagres,,2025-08-15T09:31:06Z,channel_000216,"40.0, -3.7",[withheld],1447.0,19.0,0.0,,Rugulopteryx_okamurae,Algas asiaticas,2025-08-15T09:31:06Z,,,2025-08-15 09:31:06,,GEO,,,,,Plants,alien,2015.0,,,,2015-06-01T12:00:00Z,After,True
