Taxonomic group,Species found (%),Videos / species (mean+/-SD),Channels / species (mean+/-SD),Total videos,Channels
Birds,100,19.0 +/- 52.8,9.7 +/- 24.1,684,300
Herptiles,100,17.0 +/- 12.6,11.8 +/- 8.2,153,92
Fishes,100,10.0 +/- 12.0,7.3 +/- 7.7,70,49
Insects,100,23.2 +/- 55.0,16.7 +/- 37.8,627,405
Crustaceans,100,7.7 +/- 11.5,5.7 +/- 8.1,23,16
Non-arthropod invertebrates,100,4.0 +/- 2.4,3.5 +/- 2.4,24,21
Plants,100,95.0 +/- 113.1,45.0 +/- 42.4,190,90
"Bacteria, Viruses, Fungi",100,31.0 +/- 39.2,19.0 +/- 22.9,124,73
Total,100,20.2 +/- 47.6,12.4 +/- 26.6,1895,1002
