Model,Predictors,K,AIC,LL,?AIC,AICWt,Cum.Wt
Model 1,Time period + Taxonomic group + Invasion status,30,1621.27,-780.63,0,1,1
Model 2,Time period + Taxonomic group,27,1636.25,-791.13,14.99,0,1
Model 3,Time period + Invasion status,9,1848.56,-915.28,227.3,0,1
Model 4,Time period,6,1885.46,-936.73,264.2,0,1
Model 5,null,3,1911.6,-952.8,290.33,0,1
