Model,Predictors,K,AIC,LL,?AIC,AICWt,Cum.Wt
Model 1,Time period + Taxonomic group + Invasion status,30,1575.17,-757.59,0,1,1
Model 2,Time period + Taxonomic group,27,1586.03,-766.01,10.86,0,1
Model 3,Time period + Invasion status,9,1796.76,-889.38,221.59,0,1
Model 4,Time period,6,1841.6,-914.8,266.42,0,1
Model 5,null,3,1869.57,-931.78,294.4,0,1
