video_id,title,description,publishedAt,channelTitle,TaxonName,query,search_type,search_unit,regionCode,geo_id,location,locationRadius,video_url,viewCount,likeCount,commentCount,duration
KS8avyZURg0,SIA - Metanálise na avaliação global de falhas de controle de Phthorimaea absoluta por nereistoxina,,2025-10-01T00:00:00Z,Adaele Alves Viana,Phthorimaea_absoluta,Phthorimaea absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=KS8avyZURg0,18,1,0,PT10M24S
vkViyxrYg0A,Cómo combatir la Tuta del tomate de forma ecológica - Planeta Huerto,La Tuta Absoluta es uno de los mayores enemigos de las tomateras. Pero no os preocupéis: en este vídeo os explicamos cómo ...,2014-07-01T00:00:00Z,Planeta Huerto,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=vkViyxrYg0A,252612,904,28,PT2M25S
iyLPWO2rZBE,Ciclo de vida de la Tuta absoluta,Ciclo de vida de la Tuta absoluta.,2012-02-15T00:00:00Z,Syngenta España,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=iyLPWO2rZBE,109901,665,14,PT16M54S
ZRZMLcMXWtg,¡🍅ASÍ CONTROLAMOS LA TUTA ABSOLUTA EN NUESTROS TOMATES! 🌱,frutastropicales #viralvideo #video #frutastropicales #aguacate #fruticultura #fruticultura #fruit #viralvideos #viralvideo #fruta ...,2024-12-13T00:00:00Z,Frutayverduras,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=ZRZMLcMXWtg,6820,162,5,PT2M21S
0_s6ub-z-pw,TUTA ABSOLUTA: 6 formas de eliminarla de tus tomates.,"La Tuta Absoluta es la plaga más destructiva de los tomates. Esta plaga, concretamente sus larvas, hacen agujeros en los ...",2024-05-18T00:00:00Z,El manual del agricultor,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=0_s6ub-z-pw,275244,3372,201,PT17M2S
isL-JaHv6_I,Control biológico frente a la Tuta absoluta,"Con la primavera a la vuelta de la esquina, técnicos y agricultores se preparan para hacer frente a Tuta absoluta con una ...",2021-03-05T00:00:00Z,AenVerde La Revista del Agricultor,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=isL-JaHv6_I,5385,36,0,PT6M57S
iXkRO3Er1qM,Cómo combatir la Tuta absoluta,"Ver artículo completo en: https://personalgardenshopper.es/como-combatir-la-tuta-absoluta/ En este vídeo, presentamos una guía ...",2026-01-09T00:00:00Z,Personal GARDEN Shopper,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=iXkRO3Er1qM,618,19,0,PT6M6S
SsLpUH1YzO8,&quot;¡Hoy hablamos sobre cómo combatir un ataque severo de Tuta Absoluta! 🍅,Conozca estrategias efectivas y semi orgánicas para proteger sus tomates y mantener una producción saludable. ¡No se lo ...,2025-01-09T00:00:00Z,AgroVerde,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=SsLpUH1YzO8,16917,167,5,PT46S
BCvIlkDxd10,TOMATE: todo sobre la TUTA ABSOLUTA. PLAGAS DEL TOMATE,"EL TOMATE es el rey de nuestros huertos, pero no solo nos gusta a nosotros, descubre todo sobre la TUTA ABSOLUTA una de ...",2013-11-16T00:00:00Z,El Huerto Familiar,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=BCvIlkDxd10,365950,7520,139,PT9M1S
j8_PZA-onfU,Todo sobre la TUTA ABSOLUTA y su desarrollo en el tomate / El huerto de Kevin,"hola amigos y amigas en el vídeo de hoy os enseño todo sobre la TUTA ABSOLUTA, espero que os guste mucho un saludo ...",2021-06-10T00:00:00Z,El huerto de Kevin,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=j8_PZA-onfU,6087,166,32,PT5M50S
4_STyuqSkkU,Cycle de vie de Tuta absoluta,Tuta Absoluta est un lépidoptère présent en France depuis 2009. Plusieurs solutions de biocontrôle existent pour maîtriser au ...,2022-07-25T00:00:00Z,Koppert France,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=4_STyuqSkkU,4242,56,0,PT2M52S
b0L4hXmhGGE,Combate la Tuta Absoluta | Polilla del Tomate | Huerto Ecológico,Únete a la Escuela del Canal HortiAcademy https://www.skool.com/hortiacademy ➤ En el video de hoy vamos a aprender a ...,2015-08-18T00:00:00Z,La Huerta de Iván,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=b0L4hXmhGGE,229323,3621,167,PT8M32S
VdLv8bPkdq8,PLAGAS:::POLILLA DEL TOMATE,,2015-03-18T00:00:00Z,Agro TV,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=VdLv8bPkdq8,2153,7,1,PT1M41S
S8k69Epi8Jc,7.- Plaga Polilla del tomate,Sistema Mateo. Gestión de sanidad vegetal para la innovación en torno del manejo integrado de las principales plagas y ...,2018-10-24T00:00:00Z,INIA Chile,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=S8k69Epi8Jc,18017,163,4,PT6M14S
IPv2OH48cSA,Controlar la TUTA o Polilla del Tomate!! 🍅,Truco para controlar la tuta o polilla del tomate de una manera efectiva y sin gastar dinero. Elimina a la tuta de tus tomates ...,2023-07-18T00:00:00Z,La Huerta de Iván,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=IPv2OH48cSA,78079,2722,139,PT56S
jhZEIJ8dFmQ,Como Evitar o Eliminar la TUTA o Polilla del Tomate || El Huerto de Silverio,"Vídeo 67 : Tratamiento súper eficaz ""ecológico"" para prevenir y eliminar la Tuta absoluta o polilla del tomate, si la plaga ya está ...",2021-06-19T00:00:00Z,El Huerto de Silverio,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=jhZEIJ8dFmQ,402230,6665,769,PT13M55S
