video_id,title,description,publishedAt,channelTitle,TaxonName,query,search_type,search_unit,regionCode,geo_id,location,locationRadius,video_url,viewCount,likeCount,commentCount,duration
0PkFtrGtWdM,"Cómo evitar que la bacteria Xylella fastidiosa afecte a cultivos como el almendro, el olivo o la vid",El fitopatógeno Xylella fastidiosa es capaz de infectar a cientos de variedades de interés tanto agrícola como ornamental.,2023-03-07T00:00:00Z,Universidad de Sevilla,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=0PkFtrGtWdM,3582,35,3,PT2M26S
0yF_2ZdjPFg,XYLELLA FASTIDIOSA,"Transmitido el 27 de febrero, 2019. El dr. Carlos Chacón Díaz nos habla sobre una bacteria que amenaza con los cultivos de ...",2019-04-30T00:00:00Z,ConCiencia UCR,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=0yF_2ZdjPFg,133,0,0,PT25M34S
yfJqU1HcRn8,Riesgos potenciales de la introducción de Xylella fastidiosa en la Región de Murcia,JORNADA VIRTUAL DE TRANSFERENCIA DE RESULTADOS DE PROYECTOS DE INVESTIGACIÓN (PROYECTO FEDER ...,2021-06-17T00:00:00Z,Servicio de Formación y Transferencia Tecnológica,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=yfJqU1HcRn8,268,7,0,PT1H33M59S
A2ZX1CAOcY4,"Italia lucha contra la Xyllela fastidiosa, una bacteria que asesina a los olivos","La Xylella fastidiosa, que ha causado estragos en los olivos de Italia durante los últimos seis años, fue vista por primera vez en ...",2022-10-01T00:00:00Z,FRANCE 24 Español,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=A2ZX1CAOcY4,958,15,0,PT2M7S
B56kq-Jn0OI,Xylella fastidiosa: A misteriosa bactéria que mata as oliveiras - reporter,Há já algum tempo que uma das missões dos serviços de proteção florestal italianos é procurar uma misteriosa bactéria.,2015-07-03T00:00:00Z,Euronews em Português,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=B56kq-Jn0OI,2056,13,1,PT8M37S
Hz_0ZEycmDo,Sanidad Vegetal contra la xylella fastidiosa,El departamento de Sanidad Vegetal de la Junta de Andalucía realiza inspecciones en un vivero y en varias explotaciones ...,2018-06-21T00:00:00Z,Tierra y Mar & Espacio Protegido Canal Sur,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=Hz_0ZEycmDo,1810,17,,PT7M35S
P5h3MdRFZlI,Muestreo para el diagnóstico de Xylella fastidiosa en la estación cuarentenaria de café canéfora,"En el marco del proyecto de café canéfora, financiado por el MADR y liderado por AGROSAVIA, que busca entregarle al país ...",2022-02-03T00:00:00Z,AGROSAVIA TV,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=P5h3MdRFZlI,1589,40,1,PT3M35S
knQ7TOOZo9Y,Deteccion de Xylella fastidiosa en cafe en Colombia,La bacteria Xylella fastidiosa se ha convertido en una amenaza para algunos cultivos. Se caracteriza por tener un amplio rango ...,2026-03-13T00:00:00Z,Cenicafé FNC,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=knQ7TOOZo9Y,1641,48,0,PT1H22M45S
FgwMcN_CfAQ,Conferencia Internacional sobre Xylella fastidiosa,Conferencia Internacional sobre Xylella fastidiosa. Una década en la investigación sobre Xylella fastidiosa; Abordando los ...,2023-11-14T00:00:00Z,CSIC Comunicación,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=FgwMcN_CfAQ,925,15,0,PT8H29M36S
Ui-Igq0Sb9g,"Xylella fastidiosa: una estrategia alternativa para su control, con Pedro Gómez. Máster Fruticultura","Entrevistamos a Pedro Gómez López, Doctor en Ciencias Biológicas e Investigador del CEBAS-CSIC (Murcia), quien nos habla ...",2018-01-08T00:00:00Z,Universidad Miguel Hernández de Elche,Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=Ui-Igq0Sb9g,602,3,0,PT3M7S
b98oMeocjWo,#microBIOscope: Xylella fastidiosa,La bacteria que tumba árboles ha llegado a la peninsula.,2017-09-10T00:00:00Z,microBIOblog (Ignacio López-Goñi),Xylella_fastidiosa,Xylella fastidiosa,REG,ES,ES,,,,https://www.youtube.com/watch?v=b98oMeocjWo,1886,28,1,PT3M38S
