video_id,created_at,viewCount,video_likeCount,comment_likeCount,commentCount,TaxonName,Region,LifeForm,PresentStatus,word,time_period,KeywordCategory,category,FirstRecord,FirstRecordDate,token_source,comment_id,parent_id,is_reply
video_016157,2021-06-10T20:55:57Z,2803,121,1,25,Agapornis_nigrigenis,Spain,Birds,alien,comprar,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_011588,comment_000001,FALSE
video_016157,2021-06-10T17:47:57Z,2803,121,2,25,Agapornis_nigrigenis,Spain,Birds,alien,cara,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_007614,comment_000001,FALSE
video_012396,2024-04-23T07:08:08Z,11780,231,2,8,Amazona_albifrons,Spain,Birds,alien,enjaulado,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T12:00:00Z,comment,comment_013855,comment_000001,FALSE
video_014731,2021-10-06T18:32:13Z,140303,995,0,91,Amazona_amazonica,Portugal,Birds,alien,encontre,Post-Introduction,Detection,Detection,2012,2012-06-01T12:00:00Z,comment,comment_006451,comment_000001,FALSE
video_014731,2017-05-01T02:42:07Z,140303,995,1,91,Amazona_amazonica,Portugal,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T12:00:00Z,comment,comment_000866,comment_000001,FALSE
video_014731,2019-11-30T11:04:30Z,140303,995,0,91,Amazona_amazonica,Portugal,Birds,alien,jaula,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T12:00:00Z,comment,comment_012808,comment_012807,TRUE
video_003043,2025-09-24T19:02:44Z,2959,88,0,2,Amazona_ochrocephala,Portugal,Birds,alien,precio,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T12:00:00Z,comment,comment_013133,comment_000001,FALSE
video_015013,2020-12-18T22:51:35Z,5054,65,0,7,Anser_cygnoides,Portugal,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_011216,comment_000001,FALSE
video_015013,2020-12-15T04:00:39Z,5054,65,0,7,Anser_cygnoides,Portugal,Birds,alien,comprar,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_004155,comment_000001,FALSE
video_015013,2020-12-15T04:00:39Z,5054,65,0,7,Anser_cygnoides,Portugal,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_004155,comment_000001,FALSE
video_000295,2025-10-05T00:37:30Z,1457,24,0,2,Anser_cygnoides,Portugal,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_002640,comment_000001,FALSE
video_013009,2020-09-26T05:40:28Z,6863,42,0,26,Apalone_ferox,Spain,Herptiles,alien,acuarios,Post-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_014008,comment_000001,FALSE
video_013009,2017-06-27T12:01:34Z,6863,42,1,26,Apalone_ferox,Spain,Herptiles,alien,prohibido,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000670,comment_000001,FALSE
video_013009,2015-03-16T11:58:04Z,6863,42,4,26,Apalone_ferox,Spain,Herptiles,alien,atacando,Pre-Introduction,Threat,Threat,2018,2018-06-01T12:00:00Z,comment,comment_001383,comment_000001,FALSE
video_013009,2013-04-17T14:21:24Z,6863,42,0,26,Apalone_ferox,Spain,Herptiles,alien,compre,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_009047,comment_000001,FALSE
video_013009,2017-07-06T04:49:41Z,6863,42,0,26,Apalone_ferox,Spain,Herptiles,alien,compre,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000270,comment_000269,TRUE
video_013009,2017-06-27T14:04:31Z,6863,42,0,26,Apalone_ferox,Spain,Herptiles,alien,acuarios,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000671,comment_000670,TRUE
video_001550,2021-03-24T22:00:30Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,acuario,Post-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_006649,comment_000001,FALSE
video_001550,2013-08-21T01:53:23Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,compre,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_014353,comment_000001,FALSE
video_001550,2013-08-21T01:53:23Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,caro,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_014353,comment_000001,FALSE
video_001550,2013-08-18T04:52:16Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,pecera,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_013730,comment_000001,FALSE
video_001550,2013-07-04T02:29:38Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,compre,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_009349,comment_000001,FALSE
video_001550,2013-07-04T02:29:38Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_009349,comment_000001,FALSE
video_001550,2013-07-04T02:29:38Z,5080,48,0,24,Apalone_ferox,Spain,Herptiles,alien,acuarios,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_009349,comment_000001,FALSE
video_006193,2013-09-28T04:55:16Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,peceras,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_006112,comment_000001,FALSE
video_006193,2013-09-08T01:29:03Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,pecera,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_010321,comment_000001,FALSE
video_006193,2013-08-31T05:55:19Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,compre,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_002874,comment_000001,FALSE
video_006193,2013-08-31T05:55:19Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_002874,comment_000001,FALSE
video_006193,2013-08-31T05:55:19Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_002874,comment_000001,FALSE
video_006193,2013-04-26T03:31:49Z,4655,70,0,39,Apalone_ferox,Spain,Herptiles,alien,comprar,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_005110,comment_000001,FALSE
video_006839,2018-10-31T01:24:40Z,7925,108,3,18,Apalone_ferox,Spain,Herptiles,alien,acuario,Post-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_002729,comment_000001,FALSE
video_006839,2019-06-02T21:22:56Z,7925,108,0,18,Apalone_ferox,Spain,Herptiles,alien,manejo,Post-Introduction,Detection,Detection,2018,2018-06-01T12:00:00Z,comment,comment_002730,comment_002729,TRUE
video_001352,2020-12-29T06:25:44Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,pecera,Post-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_007560,comment_000001,FALSE
video_001352,2016-08-19T02:42:34Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,pecera,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000663,comment_000001,FALSE
video_001352,2015-11-20T17:22:15Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_001023,comment_000001,FALSE
video_001352,2015-04-09T20:50:58Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000168,comment_000001,FALSE
video_001352,2015-04-09T17:33:05Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000449,comment_000001,FALSE
video_001352,2015-04-09T12:50:30Z,8243,114,0,28,Apalone_ferox,Spain,Herptiles,alien,acuario,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000851,comment_000001,FALSE
video_001352,2015-04-09T17:38:17Z,8243,114,1,28,Apalone_ferox,Spain,Herptiles,alien,peligrosa,Pre-Introduction,Threat,Threat,2018,2018-06-01T12:00:00Z,comment,comment_000450,comment_000449,TRUE
video_001328,2015-05-17T23:08:18Z,3810,49,0,13,Apalone_ferox,Spain,Herptiles,alien,acuarios,Pre-Introduction,eCommerce,eCommerce,2018,2018-06-01T12:00:00Z,comment,comment_000626,comment_000625,TRUE
video_000665,2022-02-07T00:03:07Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,gaiola,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_014094,comment_000001,FALSE
video_000665,2022-01-27T02:06:49Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_012065,comment_000001,FALSE
video_000665,2020-07-22T16:09:57Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,comprar,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_006478,comment_000001,FALSE
video_000665,2019-04-15T17:26:19Z,23569,1506,0,107,Aratinga_jandaya,Spain,Birds,alien,gaiola,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_008923,comment_000001,FALSE
