term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-17.24382637498819,591.2136021322096,-0.02916682957360655,0.9767315361380925
KeywordCategoryDetection,15.5390782827498,591.2129357853233,0.02628338681749046,0.9790313057335664
KeywordCategoryeCommerce,17.713830004233937,591.2116780792754,0.02996190816423402,0.976097432403053
KeywordCategoryThreat,16.039853570662267,591.2154345606112,0.02713030248031839,0.9783558057670865
time_period_pmPost-Introduction,16.011682693695583,591.2134980929037,0.02708274209798149,0.9783937395231246
KeywordCategoryDetection:time_period_pmPost-Introduction,-14.766466930835636,591.2127742497662,-0.024976569475471673,0.9800736526275394
KeywordCategoryeCommerce:time_period_pmPost-Introduction,-17.62378372354918,591.2114004932097,-0.02980961413945467,0.9762188912009042
KeywordCategoryThreat:time_period_pmPost-Introduction,-16.58077722558557,591.2155137327907,-0.028045233659209287,0.9776260740774411
