scenario,min_tokens_per_species_period,min_videos_per_species_period,n_species_retained
pm3_no_threshold,0,0,20
pm3_min10_tokens,10,0,0
pm3_min25_tokens,25,0,0
pm3_min3_videos,0,3,2
