term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-18.45625653104394,3393.1569665450406,-0.005439258104772075,0.9956601213355919
KeywordCategoryDetection,16.376814989364124,3393.1571323198623,0.004826423991207117,0.9961490857643024
KeywordCategoryeCommerce,18.679400082358146,3393.15703285497,0.005505020811442221,0.9956076510728714
KeywordCategoryThreat,17.76310935048398,3393.157040222741,0.0052349800318460754,0.9958231093344466
time_period_pmPost-Introduction,16.66449706181588,3393.1570095236993,0.004911207178165649,0.9960814393702287
KeywordCategoryDetection:time_period_pmPost-Introduction,-14.441954676495392,3393.1571964572418,-0.004256199710279877,0.996604054216537
KeywordCategoryeCommerce:time_period_pmPost-Introduction,-18.41369691662513,3393.157111711463,-0.005426715094644559,0.9956701290620167
KeywordCategoryThreat:time_period_pmPost-Introduction,-17.76310935048397,3393.1571261800555,-0.0052349798992306915,0.995823109440257
