time_period_pm,prob,SE,df,asymp.LCL,asymp.UCL
Pre-Introduction,0.20726620153783679,0.44394708975854397,Inf,0.001308996876062798,0.9811870435404363
Post-Introduction,0.4811791326309441,0.6393364380544622,Inf,0.006091585688785459,0.992925076143161
