time_period_pm,prob,SE,df,asymp.LCL,asymp.UCL
Pre-Introduction,0.12531454987726245,0.26426723147655484,Inf,0.0012687784104467672,0.9417149180512561
Post-Introduction,0.20031282471987097,0.2541704554426011,Inf,0.011049873332417725,0.8488415910772318
